comments,value
nuvve naa jeevam,POSITIVE
na manasantha nuvve,POSITIVE
manasulo nuvve unnav,POSITIVE
ni kosame nenu putta,POSITIVE
naa kosame nuvvu puttav,POSITIVE
guruvulu,POSITIVE
upaadhyayulu,POSITIVE
shishyudu,POSITIVE
manalini terchi dedde manchi manushulu guruvule,POSITIVE
guruvu ni minchina dhaivam unnadha,POSITIVE
mana pradana mantri,POSITIVE
mukhya mantri,POSITIVE
uppa mukhya mantri,POSITIVE
vyavasayam,POSITIVE
sainikulu,POSITIVE
trivida dalalu,POSITIVE
vimana vinyasalu chesaru,POSITIVE
sainikulu mana dhesani yappudu kapadutaru,POSITIVE
desaniki vevasaam mula daram,POSITIVE
bharatha dhesdam chala abhivrudi chanduthundhi,POSITIVE
manaki jeevitham lo manchi nesthalu vunnaru,POSITIVE
manaki jeevitham lo manchi snehithulu vunnaru,POSITIVE
manaki jeevitham lo manchi mitrulu vunnaru,POSITIVE
oka manchi nestham oka vargram tho samanam,POSITIVE
oka manchi sneham oka vargram tho samanam,POSITIVE
ammayilani manam gouravam tho chudali,POSITIVE
aadavaalani manam gouravam tho chudali,POSITIVE
sthreelani manam gouravam tho chudali,POSITIVE
ammayilani manam gouravinchali,POSITIVE
aadavaalani manam gouravinchali,POSITIVE
sthreelani manam gouravinchali,POSITIVE
kula bavalu lekuda andaram okkate,POSITIVE
mathalu varuayena manushulu okate,POSITIVE
manam daya jali tho vundali,POSITIVE
manam chesina karmae manaku thirigi vasthundhi,POSITIVE
manaku teliyani vishayalu ni manaku ardam ayye laga chapadi mana guruvule,POSITIVE
nuvvu baga acting chesthunav,POSITIVE
nuvvu baga natisthunav chesthunav,POSITIVE
chala baga acting chesthunav,POSITIVE
chala baga natisthunav chesthunav,POSITIVE
nata samrat,POSITIVE
nata simham,POSITIVE
baga paaduthunavu,POSITIVE
chala baga paaduthunavu,POSITIVE
chala chakaga paaduthunavu,POSITIVE
chakaga paaduthunavu,POSITIVE
baga natyam chastunavu,POSITIVE
chala baga natyam chastunavu,POSITIVE
chala chakaga natyam chastunavu,POSITIVE
chakaga natyam chastunavu,POSITIVE
baga aduthundhi,POSITIVE
chakaga aduthundhi,POSITIVE
chala baga aduthundhi,POSITIVE
chala chakaga aduthundhi,POSITIVE
aduthunavu,POSITIVE
baga aduthunavu,POSITIVE
chakaga aduthunavu,POSITIVE
chala baga aduthunavu,POSITIVE
chala chakaga aduthunavu,POSITIVE
manchi paurulu,POSITIVE
akka nuvvu super ey,POSITIVE
akka nuv super ey,POSITIVE
akka nuvvu thop ey,POSITIVE
akka nuv thop ey,POSITIVE
amma nuvvu super,POSITIVE
amma nuv super,POSITIVE
amma nuvvu thop,POSITIVE
amma nuv thop,POSITIVE
maa nuvvu super,POSITIVE
maa nuv super,POSITIVE
maa nuv thop,POSITIVE
maa nuvvu thop,POSITIVE
andariki ni laga oka akka vundali,POSITIVE
mee akka lanti vaalu andariki undali,POSITIVE
thanks akka,POSITIVE
dhanyavaadalu akka,POSITIVE
akka bale vandavu vantalu,POSITIVE
akka baga vanduvu,POSITIVE
akka chala baga vandavu,POSITIVE
vantalu ruchi ga unnayi,POSITIVE
ninnu chusthe jali vastundi,POSITIVE
ninnu chusthe badhaga vundhi,POSITIVE
ninnu akka ani pilavalani vundi,POSITIVE
nuvvu vekthunte naaku yenduko edupu vastundhi,POSITIVE
nuvvu vekthunte naaku yenduko baga edupu vastundhi,POSITIVE
nuvvu vekthunte naaku edupu aagatledhu,POSITIVE
andharu kalisi oka photo digudam,POSITIVE
super duper hit,POSITIVE
blockbuster hit,POSITIVE
elections vasthunayi royy,POSITIVE
yennikalu vasthunayi royy,POSITIVE
andaru elections lo participate chayali,POSITIVE
andaru yennikalu lo participate chayali,POSITIVE
manam andarini sakramaga viyoginchavu,POSITIVE
devuda nannu divinchu,POSITIVE
devuda nannu aasirvadhichu,POSITIVE
devuda andarini challaga chudu,POSITIVE
nee peru emiti,POSITIVE
mee peru emiti,POSITIVE
mee parichayam,POSITIVE
thamari peru,POSITIVE
naa peru cheppukondi,POSITIVE
paata vindhamu,POSITIVE
kotha paatalu vindhamu,POSITIVE
paatha paatalu peru cheppu,POSITIVE
avunu adi kuda nijam kadha sir,POSITIVE
ninnu choose anandamlo,POSITIVE
inka veldhama,POSITIVE
inthaki mee peru cheppaledhu,POSITIVE
mee address cheppagalara,POSITIVE
nee address cheppu ra,POSITIVE
susvaagatam,POSITIVE
namaskaram,POSITIVE
meeru aelaa unnaaru,POSITIVE
"naenu baagunnaanu, meeru aelaa unnaaru?",POSITIVE
"naenu baagunnaanu, dhanyavaadhamulu, mari meeru?",POSITIVE
chaalaa kaalamaindhi mimmalni choosi,POSITIVE
mee paeraemandi?,POSITIVE
naa paeru ...,POSITIVE
meeday vooru?,POSITIVE
meeru ekkada nunchi vachchaaru?,POSITIVE
naenu ... nunchi vachchaanu,POSITIVE
mimmalni kalavadan chaalaa santhoashangaa undhi,POSITIVE
shubhodayam,POSITIVE
supra bhetam,POSITIVE
shubha dhinan,POSITIVE
namaste,POSITIVE
shubha raathri,POSITIVE
vellostaanu,POSITIVE
veedkolu,POSITIVE
ika selavu,POSITIVE
anthaa shubhan kalagaali,POSITIVE
veyya shubamulu kalaganu,POSITIVE
meeku anthaa shubhan kalagaalani korukuntunnaanu,POSITIVE
shubha aaroagyan,POSITIVE
shubha prayaanan,POSITIVE
artam owtundi,POSITIVE
naaku ardhan kaalaedhu,POSITIVE
artam kaadu,POSITIVE
dhayachaesi nemmadhigaa matlaadandi,POSITIVE
dhayachaesi mallee cheppandi,POSITIVE
dhayachaesi aadhi raayandi,POSITIVE
meeru thelugu maatlaadathaaraa?,POSITIVE
aunu konchan maathrangaa,POSITIVE
ni theluguloa elaa cheputhaaru?,POSITIVE
nenu mee bhasha matladanu,POSITIVE
bhaya padadhu,POSITIVE
kshaminchandi,POSITIVE
dheeni dhara entha?,POSITIVE
maa kshamaapanalu,POSITIVE
dhanyavaadhamulu,POSITIVE
maa santhoashan,POSITIVE
dhoddi gadhi ekkada unnadhi?,POSITIVE
ee pedhdha manishi annitikee dhara isthaaru,POSITIVE
naathoa naatyan chaesae kuthoohalan unnadhaa?,POSITIVE
naenu ninnu praemisthunnaanu,POSITIVE
mee aaroagyan thvaraloa kudhuta padaalani koarukuntunnaanu,POSITIVE
nannu prashaanthathoa vadhili pettandi,POSITIVE
sahaayan!,POSITIVE
mantalu!,POSITIVE
aapandi!,POSITIVE
rakshaka bhatulani pilavandi!,POSITIVE
santhoashakaramaina kristmas,POSITIVE
mariyu noothana sanvathsara shubhaakaankshalu,POSITIVE
shubha eestar,POSITIVE
Abhinandanalu!,POSITIVE
oka bhaasha saripoadhu,POSITIVE
naa vimaanamu anthaa malugu chaepalatho nindi poyunthi,POSITIVE
Nenu,POSITIVE
Nuvvu,POSITIVE
meeru,POSITIVE
Needi,POSITIVE
Athanu,POSITIVE
Aame,POSITIVE
Adi,POSITIVE
Neevu ela unnaavu?,POSITIVE
Nenu kshemamgaa unnaanu,POSITIVE
subha rathrilu,POSITIVE
Dandalu,POSITIVE
Naanna,POSITIVE
nanna,POSITIVE
Amma,POSITIVE
Mogadu,POSITIVE
Pellamu,POSITIVE
Sodari,POSITIVE
sahodari,POSITIVE
Akkayya,POSITIVE
akka,POSITIVE
Chella,POSITIVE
chelli,POSITIVE
Sodarudu,POSITIVE
Tammudu,POSITIVE
Anna,POSITIVE
Kuuturu,POSITIVE
putrika,POSITIVE
Snehithudu,POSITIVE
Ra,POSITIVE
Vellu,POSITIVE
Vachaaru,POSITIVE
Maatalaadu,POSITIVE
Chuudu,POSITIVE
Vinu,POSITIVE
Theeskonda,POSITIVE
Duuramu,POSITIVE
Prayaanamu,POSITIVE
Illu,POSITIVE
Ninna,POSITIVE
Ee roju,POSITIVE
Repu,POSITIVE
Pagalu,POSITIVE
Rathri,POSITIVE
Madhyaahnam,POSITIVE
Nidra,POSITIVE
Samayamu,POSITIVE
Bhojanam,POSITIVE
Meeru paseru eminti,POSITIVE
Meeru yaavuru?,POSITIVE
Neevu bojhanam chesava?,POSITIVE
Ma intiki meeru raavali,POSITIVE
Mee jaagala kookkondra,POSITIVE
Malli kaluddaam,POSITIVE
selavu,POSITIVE
Daya chesi,POSITIVE
Dhanyavaadamulu,POSITIVE
nenu,POSITIVE
adi,POSITIVE
avunu,POSITIVE
nizame,POSITIVE
nijame,POSITIVE
kaadu,POSITIVE
Aanglamu,POSITIVE
Emiti,POSITIVE
Ela,POSITIVE
Ekkada,POSITIVE
Evaru,POSITIVE
Edhi,POSITIVE
Entha,POSITIVE
Enni,POSITIVE
Vaddhu,POSITIVE
Ledhu,POSITIVE
Kaadhu,POSITIVE
Raadhu,POSITIVE
Baaledhu,POSITIVE
Teliyadhu,POSITIVE
Naaku ardtham kaledhu,POSITIVE
bathroom ekkada undhi?,POSITIVE
elaa Vunnaaru?,POSITIVE
ekkadiki veluthunam?,POSITIVE
Enti,POSITIVE
Endhuku,POSITIVE
Bhojanam ayyindha?,POSITIVE
Emi chEsthunnaaru?,POSITIVE
undhi,POSITIVE
naaku ishtam,POSITIVE
naaku kaavali,POSITIVE
velthanu,POSITIVE
vasthanu,POSITIVE
Samvatsaram,POSITIVE
Thedhi,POSITIVE
Noothana,POSITIVE
Idi chaalaa baagundhi,POSITIVE
Meeru ekkada untunnaaru,POSITIVE
Nenu cinema choosthunnanu,POSITIVE
Ma Nanna peru,POSITIVE
Nenu ninnu premistunnanu,POSITIVE
"Namaskaram, ela unnaaru?",POSITIVE
Nenu chaala baagunnanu,POSITIVE
meeru ela unnaru?,POSITIVE
Bhojanamu tinadaaniki hotelu ki velthunna,POSITIVE
Svagatam,POSITIVE
Mancidi,POSITIVE
anandinchandi,POSITIVE
Abhinandanalu,POSITIVE
Nenu ninnu dvesistunnanu,POSITIVE
Nannu ksaminchandi,POSITIVE
Nenu premalo unnanu,POSITIVE
Nenu ni sontam,POSITIVE
malli dhanyavadalu,POSITIVE
Miru ela unnaru,POSITIVE
Nenu bagunnanu,POSITIVE
Jagratta,POSITIVE
Nenu ninnu mis avutunnanu,POSITIVE
Miru bagunnaru,POSITIVE
Adi bhayankaramainadi,POSITIVE
Adi chala anyayam,POSITIVE
Adi chala ekkuva,POSITIVE
Malli kaluddam,POSITIVE
Dhanyavadalu andi,POSITIVE
Miru khaliga unnara,POSITIVE
emi ibbandi ledu,POSITIVE
Tondaraga koluko,POSITIVE
Cala bagundi,POSITIVE
Baga chesaru,POSITIVE
emiti sangatulu,POSITIVE
Nenu mi mata vinalenu,POSITIVE
Nenu apalenu,POSITIVE
Naku telusu,POSITIVE
Manchi alochana,POSITIVE
Adrustam,POSITIVE
miru alasyam ayyaru,POSITIVE
Evaru thadupari?,POSITIVE
ame evaru?,POSITIVE
Evaru atanu?,POSITIVE
Evaru nirmincharu?,POSITIVE
varu gayapaddaru,POSITIVE
ameku kopam vacchindi,POSITIVE
hello mi number evvagalara,POSITIVE
mi saree bagundi,POSITIVE
mee saree chala bagundhi,POSITIVE
meeru ee saree lo chala bagunnaru,POSITIVE
miku a devudu yappudu thoduga vuntadu,POSITIVE
aa devudu eppudu meetho vuntadu,POSITIVE
meetho aa devudu yellapudu thodu vuntadu,POSITIVE
aa devudi deevenalu eppudu thodu untayi,POSITIVE
miru chesadi chala manchi pani,POSITIVE
chala manchi pani chesthunaru,POSITIVE
chala manchi pani chesaru,POSITIVE
manchi pani chesthunaru,POSITIVE
manchi pani chesaru,POSITIVE
nenu vunna kada mowa,POSITIVE
neeku nenu vunn kada mowa,POSITIVE
nuvvu na mithrudivi ra,POSITIVE
nuvvu na snehithudivi ra,POSITIVE
nuvvu na neestham ra,POSITIVE
nuvvu na pranam ra,POSITIVE
nuvvu na gundelo vunnavu ra,POSITIVE
nuvvu eppatiki na gundelo vuntavu ra,POSITIVE
ee video ki oka like kotteyandi,POSITIVE
ee video ni like cheyandi,POSITIVE
oka look vasayandi e video ni,POSITIVE
oka sari ee video ni choodandi,POSITIVE
mi mukkubuguda chala badundi,POSITIVE
miru e mukkubuduga lo chala bagunaru,POSITIVE
meeku e mukkubuduga baga kudirindhi,POSITIVE
ee haram chala bagundi,POSITIVE
mee vonti meedha ee haram chala bagundi,POSITIVE
ee chain chala bagundi,POSITIVE
mee vonti meedha ee chain chala bagundi,POSITIVE
ee necklace chala bagundi,POSITIVE
mee vonti meedha ee necklace chala bagundi,POSITIVE
ee bangles konchem tight ayyayi,POSITIVE
ee bangles kastha tight ayyayi,POSITIVE
super super acting,POSITIVE
pinni e curry chala bagundi,POSITIVE
pinni nuvvu vandina curry chala bagundi,POSITIVE
pinni e curry chala ruchi ga undhi,POSITIVE
pinni nuvvu vandina curry chala ruchi ga undhi,POSITIVE
pinni e kurra chala bagundi,POSITIVE
pinni nuvvu vandina kurra chala bagundi,POSITIVE
pinni e kurra chala ruchi ga undhi,POSITIVE
pinni nuvvu vandina kurra chala ruchi ga undhi,POSITIVE
oka sari aa video link share chaye raa,POSITIVE
oka sari aa video link naaku pampu,POSITIVE
nuvvu echina gift chala bagundi,POSITIVE
nuvvu echina bahumathi chala bagundi,POSITIVE
nuvvu naaku echina gift chala bagundi,POSITIVE
nuvvu naaku echina bahumathi chala bagundi,POSITIVE
nuvvu echina gift chala nachindhi,POSITIVE
nuvvu echina bahumathi chala nachindhi,POSITIVE
ee gift niku nachudi ani anukontuna,POSITIVE
ee bahumathi niku nachudi ani anukontuna,POSITIVE
e roju ma thammudi ni school nunchi pick up chasukovali,POSITIVE
e roju ma thammudi ni school nunchi teesukoniraavali,POSITIVE
plz reply evvandi mam,POSITIVE
plz reply evandi,POSITIVE
ni navvu chala baguntundi,POSITIVE
ni navvu chala mudhu ga undhi,POSITIVE
nuvvu navvithey chala baguntundhi,POSITIVE
nuvvu navvithey mudhuga untav,POSITIVE
nuvvu navvithey chala andham ga untav,POSITIVE
ni navve niku andam,POSITIVE
ni navve na upiri,POSITIVE
ni navve na jeevam,POSITIVE
nenu ninnu premisthuna ani chepali ani vundi,POSITIVE
nenu ninnu premisthuna ani chepalani ani vundi,POSITIVE
nenu ninnu premisthuna ani chepali ani eppati nuncho anukuntuna,POSITIVE
ninnu jeevithaamtham happy ga chusukonta,POSITIVE
ninnu jeevithaamtham santhosham ga chusukonta,POSITIVE
ninnu jeevithaamtham neeku kastam teliyakunda ga chusukonta,POSITIVE
ninnu jeevithaamtham neeku kaneeru raanivakunda chusukonta,POSITIVE
ninnu jeevithaamtham etuvanti ibandhi lekunda chusukonta,POSITIVE
ninnu na gundelo petukoni chusukonta,POSITIVE
nuvu na pranam,POSITIVE
na pranam nuvve,POSITIVE
super ga chesavu,POSITIVE
bale ga chesavu,POSITIVE
em kami life setuu,POSITIVE
inka emi alochisunavu,POSITIVE
inka em alochinchaku,POSITIVE
nuvvu na gundakaya,POSITIVE
class andariki link share chayandi,POSITIVE
class andariki ee link pampandi,POSITIVE
edi andariki share chayandi,POSITIVE
edi andariki pampandi,POSITIVE
chala manchi mata chapavu ra,POSITIVE
nuvve cheppindi nijam ra,POSITIVE
nuvvu cheppindi aksharala nijam ra,POSITIVE
nuvve cheppindi sathyam ra,POSITIVE
nuvvu cheppindi aksharala sathyam ra,POSITIVE
enni messages yanduku pampavu,POSITIVE
emi kadu mowa life ante idhe,POSITIVE
laddu thintava,POSITIVE
thintava laddu,POSITIVE
sweet teesukondi,POSITIVE
teesukondi sweet,POSITIVE
mi challi edi marchipoyandi ra,POSITIVE
results vachayi mowa,POSITIVE
mama results vachayi ra,POSITIVE
akka nuvve nak nerpinchu akka ela ayena sare,POSITIVE
akka nuvve nak nerpinchali akka ela ayena sare,POSITIVE
konchem pass chayandi sir,POSITIVE
e puvvu chala bagundi kadha,POSITIVE
aa puvvu chala bagundhi kadha,POSITIVE
e puvvu ante naku chala istam,POSITIVE
aa puvvu ante naku chala istham,POSITIVE
ee puvvu ni lage andham ga vundi,POSITIVE
aa puvvu ni lage andham ga vundi,POSITIVE
ni andaniki saati avaru raru,POSITIVE
ni andaniki saati avaru leru,POSITIVE
ela kuda vuntaya,POSITIVE
ela kuda panchutara,POSITIVE
ela kuda panchi pedthara,POSITIVE
e shop lo baguntaye,POSITIVE
e shop lo chala baguntaye,POSITIVE
eppudu nenu ikkade kontanu,POSITIVE
nenu eppudu ikkade kontanu,POSITIVE
e hostel lo stay chayandam,POSITIVE
e hostel lo vundham,POSITIVE
e restaurant lo food chala baguntadi,POSITIVE
e hotel lo food chala baguntadi,POSITIVE
video chala baga chesavu bro,POSITIVE
video chala baga shoot bro,POSITIVE
video chala baga chesavu ra,POSITIVE
video chala baga shoot ra,POSITIVE
vadu baga chaduvuthadu,POSITIVE
andaram kalisi chaduvudam raa,POSITIVE
andaram kalisi chaduvukundam raa,POSITIVE
podukone time ayandi guys,POSITIVE
nidrapoye time ayandi guys,POSITIVE
podukone samayam ayandi guys,POSITIVE
nidrapoye samayam ayandi guys,POSITIVE
podukone time ayandi ra,POSITIVE
nidrapoye time ayandi ra,POSITIVE
podukone samayam ayandi ra,POSITIVE
nidrapoye samayam ayandi ra,POSITIVE
msg vachinda mowa,POSITIVE
phone lo charge ledu mowa,POSITIVE
phone lo charging ledu mowa,POSITIVE
net over mowa,POSITIVE
net aipoindhi mowa,POSITIVE
thinadaaniki veldham padhandi,POSITIVE
reyy e curry bagundi raa,POSITIVE
reyy e kurra gaundi raa,POSITIVE
thinnava ra,POSITIVE
thinnu ra,POSITIVE
e curry chesanu ra,POSITIVE
e kurra chesanu ra,POSITIVE
niku send avadam ledu mowa emo,POSITIVE
niku veladam ledu mowa emo,POSITIVE
niku call kalavadam ledu mowa,POSITIVE
ni range veyru mowa,POSITIVE
ni sthayi veyru mowa,POSITIVE
ni sthayey veyru mowa,POSITIVE
nuvvu ikkada vundalisina vadivi kadu mowa,POSITIVE
nuvvu thop mowa,POSITIVE
niku ni balam teliyadu mowa,POSITIVE
niku ni balam teliyatledhu mowa,POSITIVE
niku ni saamardhyam teliyadu mowa,POSITIVE
niku ni saamardhyam teliyadu mowa,POSITIVE
nijam chapu ra,POSITIVE
idhi nene na,POSITIVE
nene na idhi,POSITIVE
chala maaripovu mowa nuvvu,POSITIVE
nuvvu chala maaripoyav mowa,POSITIVE
neelo chala maarpu vachindi mowa,POSITIVE
nuvvu baga maaripoyav mowa,POSITIVE
chala maaripovu ra nuvvu,POSITIVE
nuvvu chala maaripoyav ra,POSITIVE
neelo chala maarpu vachindi ra,POSITIVE
nuvvu baga maaripoyav ra,POSITIVE
niku ni talent teliyadhu mowa,POSITIVE
niku ni talent teliyatledu mowa,POSITIVE
ala navvu tavu yenti ra,POSITIVE
ala navvu thunavu yanti ra,POSITIVE
nuvvu konchem thinnu ra,POSITIVE
konchem thinnu ra nuvvu,POSITIVE
chala weight thaggipoyav mowa,POSITIVE
chala thaggipoyav mowa,POSITIVE
chala weight thaggipoyav ra,POSITIVE
chala thaggipoyav ra,POSITIVE
chala bakaga ayyav ra,POSITIVE
chala bakaga ayyav mowa,POSITIVE
mudhu ga vundi ra pilla,POSITIVE
cute ga vundi ra pilla,POSITIVE
chala mudhu ga vundi ra pilla,POSITIVE
chala cute ga vundi ra pilla,POSITIVE
thanu mam aa student aa,POSITIVE
enti raa thanu mam aa student aa,POSITIVE
ni age 18 daggare agipoyandi kada raa,POSITIVE
ni vayasu 18 daggare agipoyandi kada raa,POSITIVE
ala navvithunavu yenti raa,POSITIVE
nannu chusthunte navvu vastunda ra,POSITIVE
nannu chusthe navvulata ga vunda ra,POSITIVE
sitakoka chiluka,POSITIVE
anni jeevarasulidi pranalu mana pranalu kante ekkuva kadu,POSITIVE
mana pranalu ekkuva migitha jeevarasula pranalu takkuva kadhu,POSITIVE
miru devatha laga vunnaru,POSITIVE
akka devatha laga vunnaru,POSITIVE
accham devatha laga vunnaru,POSITIVE
devakanya,POSITIVE
miru devakanya laga vunnaru,POSITIVE
nuvvu choodadaniki devakanya laga unnav,POSITIVE
accham devakanya laga vunnaru,POSITIVE
entha mandi vunna nak nuvve chala andhamga vunnavu,POSITIVE
chutu entha mandi vunna naku maatram nuvve chala andhamga vunnavu,POSITIVE
entha mandi vunna naku nuvve chala chooda muchataga kanispisthunav,POSITIVE
ayyo emi kadu ley,POSITIVE
em kadhu ley raa mowa,POSITIVE
nuvvu super super cute ga vunnav vey,POSITIVE
nuvvu chala ante chala cute ga vunnav vey,POSITIVE
intha cute ga yala puttavu ee,POSITIVE
mari intha cute ga yala puttavu ee,POSITIVE
miru manchi valla laga vunnaru,POSITIVE
miru choodadaaniki manchi valla laga vunnaru,POSITIVE
miru manchi ammayi laga vunnaru,POSITIVE
miru choodadaaniki manchi ammayi laga vunnaru,POSITIVE
purugulu pati pothav,NEGATIVE
lanjala kompa,NEGATIVE
moddala vaana,NEGATIVE
nee intlo naa sulli,NEGATIVE
sallulu,NEGATIVE
nee jaathi pukulo na modda,NEGATIVE
nee akkan na sulli,NEGATIVE
nee notilo na modda,NEGATIVE
ne puku lo na vuchesi gotta,NEGATIVE
lanja daane,NEGATIVE
puku lo moora vesi na modda petta,NEGATIVE
gudda naku,NEGATIVE
gudha,NEGATIVE
gudha pagalu dengutha,NEGATIVE
pedha pukulu chinna pukulu,NEGATIVE
gachu gudh chudu,NEGATIVE
aathulu,NEGATIVE
aathu pakodi,NEGATIVE
sandlu,NEGATIVE
chittu puku,NEGATIVE
ne akka guddala sulli,NEGATIVE
konda puku,NEGATIVE
dongana batta,NEGATIVE
nalla puku,NEGATIVE
banda puku,NEGATIVE
koja puka,NEGATIVE
nee amma puku veeru,NEGATIVE
leki puku,NEGATIVE
nalla puku,NEGATIVE
degadaniki,NEGATIVE
na modda kudu,NEGATIVE
nee puuku pacchade inka,NEGATIVE
booru puku,NEGATIVE
shield puku,NEGATIVE
dengichkoo,NEGATIVE
 langa leppuu,NEGATIVE
broker munda,NEGATIVE
puku pekata,NEGATIVE
ne akkani tholukopotha,NEGATIVE
lanja kathalu dengadhu,NEGATIVE
pathithu puku',NEGATIVE
baayillu,NEGATIVE
ne puku pekka atta,NEGATIVE
gattiga dengali,NEGATIVE
chaaku na modda chikku,NEGATIVE
na modda mingu,NEGATIVE
nee seellam,NEGATIVE
ne akkan dengina vaaramu,NEGATIVE
mangama puku,NEGATIVE
erripuka,NEGATIVE
adi na guddalo bokka,NEGATIVE
munnakayya modda,NEGATIVE
moddasu,NEGATIVE
athi chey athi dengamanaleru,NEGATIVE
ne kuyya ni denga,NEGATIVE
attha pooku dengaina alludu,NEGATIVE
aati mokka,NEGATIVE
bosudi,NEGATIVE
dengu,NEGATIVE
gudda,NEGATIVE
konamodda,NEGATIVE
kuthuru vongu alludu dhengulu,NEGATIVE
langa vippavae lanjaa,NEGATIVE
lanja munda,NEGATIVE
modda koduvu,NEGATIVE
nee alini denga,NEGATIVE
nee ammani denga,NEGATIVE
ne amma pukkulo na modda,NEGATIVE
nee aali pookulo rampam,NEGATIVE
ne amma roju na modda cheekutundi,NEGATIVE
ni akkani pandhulu denga,NEGATIVE
peedha salladhi,NEGATIVE
pichi pukundaana,NEGATIVE
sanalo bochho,NEGATIVE
vattakai,NEGATIVE
aathulu peeku,NEGATIVE
akka booka lo naa sulla,NEGATIVE
akka nee pooku dengutha,NEGATIVE
amma pooku ki basina,NEGATIVE
amma poooku arati pandu,NEGATIVE
bochu,NEGATIVE
chilipiga thittatam,NEGATIVE
doola lanja,NEGATIVE
gudda naaku,NEGATIVE
kammani puku,NEGATIVE
kukka pooka,NEGATIVE
kukka sulli,NEGATIVE
lanja,NEGATIVE
lanja kodaka,NEGATIVE
lanja pooka,NEGATIVE
modda cheeku lanja,NEGATIVE
modda naaku,NEGATIVE
modda notlo petti dengutha,NEGATIVE
"modda, lavada, daddu, magatanam",NEGATIVE
guddalo gunapanam,NEGATIVE
"muchchika , chanu mona",NEGATIVE
naa modda gudu,NEGATIVE
na akkan ma kukka dengutha,NEGATIVE
ne jaathini kukka denga,NEGATIVE
ne notilo na sulli,NEGATIVE
nee akkanu denga,NEGATIVE
nee amma guddani denga,NEGATIVE
nee kooturi ni denga,NEGATIVE
naa paalu super,NEGATIVE
nee pellaani denga,NEGATIVE
puthi,NEGATIVE
saachinoda,NEGATIVE
vattalu,NEGATIVE
vonga petti dengutha lanja,NEGATIVE
nee kaaki gudda,NEGATIVE
nee pooku baddha ,NEGATIVE
naa lanja vadda sandlu pindi mudda,NEGATIVE
donga saale,NEGATIVE
sullivat,NEGATIVE
puka,NEGATIVE
khoja,NEGATIVE
donga munda,NEGATIVE
saley,NEGATIVE
bey,NEGATIVE
cheeku,NEGATIVE
konda erripuka,NEGATIVE
ambothu,NEGATIVE
laude,NEGATIVE
lambdi kodaka,NEGATIVE
dommari badacow,NEGATIVE
donga badacow,NEGATIVE
yarimalokam,NEGATIVE
chetanayala,NEGATIVE
uuruna kodaka,NEGATIVE
pk,NEGATIVE
nee yaba,NEGATIVE
nee amma,NEGATIVE
dommari lange,NEGATIVE
madhiga lanje,NEGATIVE
munda,NEGATIVE
nibba,NEGATIVE
nibbi,NEGATIVE
balishindha,NEGATIVE
sankanaakipothav,NEGATIVE
kovvu pati kottukuntunava,NEGATIVE
howle,NEGATIVE
mandhara mogga,NEGATIVE
pandi,NEGATIVE
pichala,NEGATIVE
daddu,NEGATIVE
panga jaapave,NEGATIVE
sankhi na kodaka,NEGATIVE
alpagudda lo sulli,NEGATIVE
gottam,NEGATIVE
addagaadidha,NEGATIVE
jaffa kodaka,NEGATIVE
kachara naa kodaka,NEGATIVE
khoja naa kodaka,NEGATIVE
aathu mangalam,NEGATIVE
dengithe devuda antav,NEGATIVE
daridrapu manishi,NEGATIVE
pandikokku vedhava,NEGATIVE
lanja munda,NEGATIVE
sanka naku,NEGATIVE
naa goosey,NEGATIVE
pilla naa kodaka,NEGATIVE
pilla baccha,NEGATIVE
kothi na kodaka,NEGATIVE
chekkaga,NEGATIVE
karri na kodaka,NEGATIVE
karri mokam,NEGATIVE
naa ucha thaggu,NEGATIVE
loafer naa kodaka,NEGATIVE
langoota nayala,NEGATIVE
Baga kasiga unnav,NEGATIVE
Item laaga unnavv,NEGATIVE
Auntie katti la undhi,NEGATIVE
nadumu sexy boddu,NEGATIVE
Langa theeesi,NEGATIVE
rod ni 25 degree lo tosete digipoddi,NEGATIVE
bokka laga vundi,NEGATIVE
pakodilu ammukone moham,NEGATIVE
aa modda ki kncm rest evvu guru prathi gunta kavali anta niku,NEGATIVE
naku kasi ga dengali ani vundi ,NEGATIVE
kamam tho ragulutuna kasi pukulu ,NEGATIVE
nakutu korukuthu rasalu karipoivali,NEGATIVE
chala peddaga vunnaye bayalu,NEGATIVE
baga dengaru,NEGATIVE
aa boddu modda petti,NEGATIVE
lanja edi,NEGATIVE
chaye ni boddu mida petti naluputu sandalanii koraritee swagam,NEGATIVE
aha pesikeyyali anipistundi ,NEGATIVE
em gudda dini gudda lo petti dengali kasi thirra,NEGATIVE
ee aunty ni gattiga dengali ani vundi,NEGATIVE
ee lanja ni chustunte modda aagadura ,NEGATIVE
pettu ra gattiga pattu ,NEGATIVE
dini rasalu pindali,NEGATIVE
ni peaalini ala pisikasi chudali ani fantasy,NEGATIVE
eavari lanja,NEGATIVE
ahhh rave padesi kasiga dengutha,NEGATIVE
Pant lo nalipeskokandi guys,NEGATIVE
hhhhhh open your mouth baby okkasari notlo pedthe kaaredhaka nuv edchina bitiki theesedhi ledu lanja munda,NEGATIVE
puvvu Kasi ga vuntey ra pilla karpisthaÂ ,NEGATIVE
Ahhhhhh open your mouth baby okkasari notlo pedthe kaaredhaka nuv edchina bitiki theesedhi ledu lanja munda,NEGATIVE
